order_id,user_id,order_date,total_price,discount,payment_method,order_status,province,city,district,street,customer_name,phone_number,email,product_count,shipping_fee,tax,delivery_time,log_info
84550af8-a69f-4d33-badc-fe37feba3396,9a0f2d96-3abc-482c-8c20-4d3ed8fee55b,2025-02-27 16:14:11,4774.08,138.71,Debit Card,refunded,青海省,佛山县,永川,通辽街Q座,符亮,13819135105,nading@example.com,6,5.85,14.68,2025-03-07 10:23:37,"{'timestamp': '2025-03-05T06:46:47.092239', 'device_model': 'iPhone 14 Pro', 'os_version': 'iOS 15', 'browser': 'Chrome', 'browser_version': '107.0.7135.24', 'ip_address': '149.154.72.221', 'user_agent': 'Chrome/107.0.7135.24'}"
927768f2-1f04-4cf1-a555-2c12d68dfac2,a40fdaa4-0d3f-468b-a43f-d7275146527f,2025-02-18 16:49:24,215.19,349.07,WeChat Pay,refunded,天津市,邯郸县,长寿,钟路R座,金军,13246379102,xiongyan@example.com,4,9.89,38.32,2025-03-11 02:22:41,"{'timestamp': '2025-03-05T06:46:47.092447', 'device_model': 'iPhone 15 Pro', 'os_version': 'iOS 17', 'browser': 'Chrome', 'browser_version': '95.0.9840.97', 'ip_address': '39.13.69.171', 'user_agent': 'Chrome/95.0.9840.97'}"
f5aaf98a-6404-43c9-8afc-77ab863270d3,39278e2d-a287-4905-8de5-ef7f93888254,2025-03-03 06:02:19,7146.93,149.86,Alipay,refunded,台湾省,俊市,怀柔,深圳街C座,何建,13169427866,xiulanluo@example.net,6,28.75,36.2,2025-03-10 02:56:31,"{'timestamp': '2025-03-05T06:46:47.092543', 'device_model': 'iPhone 14', 'os_version': 'iOS 15', 'browser': 'Chrome', 'browser_version': '95.0.4744.42', 'ip_address': '97.249.65.176', 'user_agent': 'Chrome/95.0.4744.42'}"
2f31edea-2c33-4bf2-b8ae-a6661bc1517e,a6684296-cae4-4e4f-99c9-383c63c8f9c1,2025-02-04 08:27:24,3034.69,28.08,Debit Card,paid,安徽省,济南市,梁平,梧州街A座,卢建华,18899751995,min76@example.com,3,32.19,36.43,2025-03-07 01:16:29,"{'timestamp': '2025-03-05T06:46:47.092631', 'device_model': 'iPhone 15 Pro', 'os_version': 'iOS 16', 'browser': 'Firefox', 'browser_version': '110.0.2254.94', 'ip_address': '222.6.198.219', 'user_agent': 'Firefox/110.0.2254.94'}"
e9c59824-8b0c-46c3-a18b-50d7774ddbd2,80545c93-4fe8-43a0-b78b-e1de45fd9942,2025-03-01 09:47:49,9203.35,309.62,Credit Card,paid,河北省,武汉市,六枝特,郭街M座,冯俊,15605766453,li25@example.net,4,33.48,44.81,2025-03-09 02:32:15,"{'timestamp': '2025-03-05T06:46:47.092706', 'device_model': 'Samsung S23 Ultra', 'os_version': 'Android 11', 'browser': 'Chrome', 'browser_version': '117.0.7864.23', 'ip_address': '144.61.79.5', 'user_agent': 'Chrome/117.0.7864.23'}"
1929a3d1-fb6f-4efd-9e89-26e8ff877888,8e33827a-0571-4116-82f0-f909a02beb27,2025-03-01 13:31:49,4074.81,132.71,Credit Card,completed,广东省,霞县,高坪,宁德路y座,徐洋,18040841513,klei@example.org,10,13.0,46.2,2025-03-07 12:59:18,"{'timestamp': '2025-03-05T06:46:47.092778', 'device_model': 'vivo X100', 'os_version': 'Android 12', 'browser': 'Safari', 'browser_version': '104.0.4646.21', 'ip_address': '195.27.70.2', 'user_agent': 'Safari/104.0.4646.21'}"
dae8c7f6-54fd-434e-9a8d-f1176162d31b,e570299b-1fb0-459f-a5ea-4338b96b8e02,2025-02-24 00:17:43,4191.68,78.12,Debit Card,cancelled,贵州省,台北市,永川,颜街J座,郑柳,18682892963,zhaochao@example.net,10,35.97,67.49,2025-03-08 10:04:44,"{'timestamp': '2025-03-05T06:46:47.092851', 'device_model': 'Huawei P60', 'os_version': 'Android 14', 'browser': 'Safari', 'browser_version': '101.0.6033.84', 'ip_address': '189.16.76.252', 'user_agent': 'Safari/101.0.6033.84'}"
4475e863-5b2a-48f1-9aa2-67a9656f5023,2784a691-7142-4cd9-9386-927f27ad341b,2025-02-16 16:05:52,6887.1,192.98,Alipay,paid,江西省,东莞市,魏都,王街z座,洪磊,13282670756,minsong@example.net,7,39.74,24.5,2025-03-08 06:08:15,"{'timestamp': '2025-03-05T06:46:47.092931', 'device_model': 'iPhone 15 Pro', 'os_version': 'iOS 15', 'browser': 'Chrome', 'browser_version': '95.0.7482.87', 'ip_address': '43.239.222.222', 'user_agent': 'Chrome/95.0.7482.87'}"
f5841758-7f94-4a66-a9e0-e890769dde4f,2de6dfca-98b0-4dc5-8bcb-bb34e3b8939f,2025-02-16 03:07:31,5195.44,456.89,Debit Card,pending,安徽省,拉萨县,大东,陈路c座,张桂芝,18688075246,jing35@example.net,8,7.29,0.66,2025-03-05 20:28:57,"{'timestamp': '2025-03-05T06:46:47.093008', 'device_model': 'vivo X100', 'os_version': 'Android 14', 'browser': 'Firefox', 'browser_version': '95.0.7240.27', 'ip_address': '62.62.113.189', 'user_agent': 'Firefox/95.0.7240.27'}"
3dc37d6b-974c-4116-bb33-ecdb59719ef5,01419dd1-2cc7-4bec-a3ab-701f31e16b9b,2025-02-18 12:30:03,1113.31,279.78,Alipay,paid,海南省,桂英县,魏都,沈阳路n座,李志强,15505875958,pingshi@example.org,8,45.36,36.83,2025-03-11 08:37:29,"{'timestamp': '2025-03-05T06:46:47.093088', 'device_model': 'Samsung S23', 'os_version': 'Android 13', 'browser': 'Safari', 'browser_version': '103.0.1187.27', 'ip_address': '94.141.100.201', 'user_agent': 'Safari/103.0.1187.27'}"
ea44b7a8-b339-4951-90f3-bf3fb139f269,71bf8588-8fa2-463b-baa0-a75f5183c643,2025-03-04 16:36:52,2507.82,354.29,WeChat Pay,refunded,辽宁省,凤英县,徐汇,李街J座,韩军,18969332168,qiangma@example.net,5,20.07,76.88,2025-03-06 17:39:59,"{'timestamp': '2025-03-05T06:46:47.093162', 'device_model': 'iPhone 15 Pro', 'os_version': 'iOS 16', 'browser': 'Firefox', 'browser_version': '91.0.5730.32', 'ip_address': '53.190.182.152', 'user_agent': 'Firefox/91.0.5730.32'}"
4f28e9cd-2f7e-4d80-a77a-4c7845df69bd,5376478d-877b-4651-8f21-baee0b0b49c0,2025-02-18 15:56:21,4126.78,75.12,Debit Card,cancelled,海南省,莹县,房山,罗路R座,张莉,18533924161,lei56@example.net,4,42.37,58.25,2025-03-10 08:31:47,"{'timestamp': '2025-03-05T06:46:47.093237', 'device_model': 'iPhone 14', 'os_version': 'iOS 17', 'browser': 'Firefox', 'browser_version': '105.0.2662.43', 'ip_address': '192.171.10.204', 'user_agent': 'Firefox/105.0.2662.43'}"
15483482-919e-4e46-9921-25f8681f1c02,6416fe21-3d40-40be-ad54-a4227ef3ca44,2025-02-03 19:37:28,4077.0,249.46,Credit Card,pending,福建省,郑州县,梁平,吴路d座,李刚,15094145424,juanpeng@example.net,6,7.3,66.45,2025-03-08 11:40:32,"{'timestamp': '2025-03-05T06:46:47.093327', 'device_model': 'iPhone 15', 'os_version': 'iOS 15', 'browser': 'Chrome', 'browser_version': '113.0.2083.99', 'ip_address': '138.33.27.216', 'user_agent': 'Chrome/113.0.2083.99'}"
